"","x"
"1","cosmetics & grooming"
"2","other"
"3","cameras"
"4","clothing"
"5","travel accessories"
"6","computer & accessories"
"7","baggage/cases/purses"
"8","personal accessories"
"9","jewelry & watches"
"10","food & drink"
"11","home decor"
"12","office equipment & supplies"
"13","currency"
"14","-"
"15","toys & games"
"16","personal electronics"
"17","books, magazines & other"
"18","household items"
"19","audio/video"
"20","sporting equipment & supplies"
"21","tools & home improvement supplies"
"22","crafting & hobby"
"23","musical instruments & accessories"
"24","medical/science"
"25","automobile parts & accessories"
"26","hunting & fishing items"
"27","outdoor items"
